a cappella,無伴奏の合唱,柔らかな,歌うように
acceso,燃えて、火のように,静かに,柔らかな、優しく
affrettando[affrett.],急いで、加速して,興奮して、激しく,気持ちよい、耳ざわりのよい
a due corde,2弦で、ソフトペダルを半分踏んで,コーダへ,最初に戻る
allegramente[con allegrezza],快活に、楽しく,正確に,気まぐれ、自由に
altra volta,もう一度,悲しみのこもった、悩ましげな,変化をつけて
a mezza voce,半分の、中くらいの、柔らかい声で,小さく細い声で,大きな声で
ancora[ancora piu],もう一度、さらに多く,気持ちよい、耳ざわりのよい,急いで、加速して
aperto,明るく、開放的な,暗く、閉鎖的な,小さく弱く
arioso,歌うように,急いで、加速して,厳かに
armonioso,よく調和した、和声的に,歌うように,快活に、楽しく
assai,非常に,明るく,少し
calcando,せきこんで、性急に,和らいで、だんだん遅く,次第に幅広く(遅く強く)
cédez,次第におそく,せきこんで、性急に,ソフトペダルを半分踏んで
come sopra,前のように(反復時),ソプラノの音域で,ひそひそ声のように
comodo,気楽な、ほどよい,熱気を持って,活気を持って
come prima,最初のように、最初のテンポで,最初に戻る,主旋律
con dolore,深い悲しみを持って,優しさを持って,甘えるように
con emozione,感動して、感激して,急かすように、急いで,厳かな
con melancolia,憂鬱に,動きを持って,消えていくように
con sentimento,感情を込めて,憂鬱に,気楽な、ほどよい
con spirito,元気に、生気に満ち溢れて,深い悲しみを持って,感情を込めて
con tenerezza,柔らかさ、優美さ、愛,よく調和した、和声的に,せき込んで、性急に
deciso,リズムをキッパリと、断として,壮大に,急かすように、急いで
divisi[div.],一つの声部を2つ以上に分ける,リズムをキッパリと,ソフトペダルを半分踏んで
due volte,2回,2弦で,2声の
falsett,発声技法の一種,2つ以上の声部にわけて,弦楽器の奏法のひとつ
feroce,荒々しく,リズムをキッパリと,柔らかさ、優美さ
festoso,祭りのように、陽気な,荒々しく,憂鬱に
flebile,物悲しい、哀愁を帯びた,流れるように、流暢に,荒々しく
furioso,熱狂的な、荒れ狂って,物悲しい、哀愁を帯びた,優しい、甘く
garbato,優雅に、しとやかな,自由に、気まぐれに,荒々しく
gaudioso,喜ばしい、楽しい,気楽な、ほどよい,情緒的に
giocoso,戯れるように、楽しげに,熱狂的な、荒れ狂って,物悲しい、哀愁を帯びた
gioioso,楽しい、陽気に,一つの声部を２つ以上に分ける,荒々しく
innig,心からの切実な、深い心情,最初のような,優しい、甘い
inoccente,無邪気な,心からの切実な、深い心情,優雅に、しとやかな
largamente,幅広く、寛大に、ゆっくりと,嘆き悲しんで,優雅に、しとやかな
lebhaft,生き生きと、元気な,幅広く、寛大に、ゆっくりと,熱狂的な、荒れ狂って
leicht,軽く、自由に,繰り返して,無邪気な
lieblich,愛すべき,自由に、気まぐれに,楽しい、陽気に
lieto,陽気な、楽しげに,愛すべき,物悲しい、哀愁を帯びた
lustingando,取り繕う、媚びる、優しい,感動して、感激して,急かすように、急いで
lustig,楽しく、おどけて,心からの切実な、深い心情,最初のような
marziale,行進曲風に、勇壮に,幅広く、寛大に、ゆっくりと,祭りのように、陽気な
messa di voce,声を徐々に強くし、また弱くする,心からの切実な、深い心情,生き生きと、元気な
mesto,悲しげに、寂しげに,楽しく、おどけて,優雅に、しとやかな
mezzo,中間、半分,大きく,小さく
mobile,動いて,深い悲しみをもって,感情を込めて
mormorando[mormoroso],ささやくように、つぶやくように,荒々しく,リズムをキッパリと
muta,変調する、持ち替える,中間,陽気な、楽しげに
mouvt,テンポ、拍子、楽章、進行,または、楽譜において選択可能な簡略系,オクターヴ
ongarese,ハンガリー風に,オルガンで,ミュートをつけて
ossia,または、楽譜において選択可能な簡略系,オクターヴ,波のように、うねるように
parlando[parlante],語るように、ほとんど話すように,気持ちよい、耳ざわりのよい,情緒的に
piacevole,楽しそうな、愉快な,語るように、ほとんど話すように,感動して、感激して
pastorale,田園風に、牧歌風に,気楽な、ほどよい,熱気を持って
patetico[pathetique],悲壮に、感傷的な,流れるように、流暢に,荒々しく
peu,少し、poco,より、piu,ピアノで
plus,より、piu,ピアノで,少し、poco
paventoso,怖がった、臆病な,楽しそうな、愉快な,語るように、ほとんど話すように
religioso,宗教的に,田園風に、牧歌風に,気楽な、ほどよい
secco,鋭く音を切って、乾いた,半分の、中くらいの、柔らかい声で,小さく細い声で
segue[seg.],同じように続けて、音や音型の反復,全楽器による総奏部分,ソフトペダルを半分踏んで
serioso[serio],真面目に、荘厳に,鋭く音を切って、乾いた,半分の、中くらいの、柔らかい声で
soave[soavemente],甘く、優しく、愛らしく,真面目に、荘厳に,鋭く音を切って、乾いた
sognando,夢見るように、幻想を追いながら,怖がった、臆病な,楽しそうな、愉快な
sopra,上,下,右
stretto[stretta],切迫して、たたみかけるように重なること,鋭く音を切って、乾いた,変調する
tacet[tac.],長い休み(楽章単位等),または、楽譜において選択可能な簡略系,変調する、持ち替える
tempestoso,嵐のように,無邪気な,心からの切実な、深い心情
teneramente,愛情をこめて、優しく,怖がった、臆病な,楽しそうな、愉快な
timoroso,不安げな,愛情をこめて、優しく,悲壮に
tosto,すぐに、急いで,長い休み(楽章単位等),または、楽譜において選択可能な簡略系
tranquillo,静かに,すぐに、急いで,不安げな
trés,とても,あまり～でなく,3つの
veloce,速く、素早く,宗教的に,田園風に、牧歌風に
vide[vi-de],飛び越せる箇所の最初と最後を示す,速く、素早く,生き生きと
vigoroso,力強く,切迫して、たたみかけるように重なること,怖がった、臆病な
